Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,2,"[0, 1, 2, 3]","[0.7698808908462524, -0.13244211673736572, 0.09636019170284271, -0.7485608458518982]",0.9,44.99999999999999,"[[ 2  0  0  0]
 [ 0  2  8  4]
 [ 0  4 32 16]
 [ 2  2  2  4]]","[[ 0  0  0  2]
 [ 0  2  8  4]
 [ 0  4 32 16]
 [ 2  2  4  4]]",False
0,0,0,"[0, 1, 2]","[0.7764130234718323, -0.143515944480896, 0.10443609952926636, -0.7940552830696106]",1.7,46.699999999999996,"[[ 0  0  0  2]
 [ 0  2  8  4]
 [ 0  4 32 16]
 [ 2  2  4  4]]","[[ 2  0  0  0]
 [ 2  8  4  0]
 [ 4 32 16  0]
 [ 4  8  0  2]]",False
0,0,3,"[0, 1, 2, 3]","[0.5288368463516235, -0.32474005222320557, 0.1064179539680481, -0.6931555271148682]",1.7,48.4,"[[ 2  0  0  0]
 [ 2  8  4  0]
 [ 4 32 16  0]
 [ 4  8  0  2]]","[[ 0  0  0  0]
 [ 0  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  2]]",False
0,0,3,"[0, 1, 2, 3]","[0.6796313524246216, -0.16015875339508057, 0.15538039803504944, -0.760181725025177]",0.9,49.3,"[[ 0  0  0  0]
 [ 0  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  2]]","[[ 0  0  0  2]
 [ 0  8  0  0]
 [ 4 32  4  0]
 [ 8  8 16  4]]",False
0,0,3,"[0, 1, 2, 3]","[0.7104665040969849, -0.2087501436471939, 0.1667562574148178, -0.7907583117485046]",0.5,49.8,"[[ 0  0  0  2]
 [ 0  8  0  0]
 [ 4 32  4  0]
 [ 8  8 16  4]]","[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]",False
0,0,3,"[0, 1, 2]","[0.6853194236755371, -0.12289083003997803, 0.1405387967824936, -0.7509216666221619]",-1,48.8,"[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]","[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]",False
0,0,3,"[0, 1, 2]","[0.6853194236755371, -0.12289083003997803, 0.1405387967824936, -0.7509216666221619]",-1,47.8,"[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]","[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]",False
0,0,2,"[0, 1, 2]","[0.6853194236755371, -0.12289083003997803, 0.1405387967824936, -0.7509216666221619]",2.1,49.9,"[[ 0  0  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 8  8 16  4]]","[[ 0  0  0  0]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 2 16 16  4]]",False
0,0,0,"[0, 1, 2]","[0.5988120436668396, -0.1756628304719925, 0.16952672600746155, -0.7871692180633545]",3.7,53.6,"[[ 0  0  0  0]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 2 16 16  4]]","[[ 0  2  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]",False
0,0,2,"[0, 1, 2, 3]","[0.6754058599472046, 0.047572605311870575, 0.16840599477291107, -0.704014003276825]",0.5,54.1,"[[ 0  2  0  0]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]","[[ 2  0  0  2]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 0  2 32  4]]",False
0,0,0,"[0, 1, 2, 3]","[0.9827347993850708, -0.27803170680999756, 0.08935347199440002, -1.2845910787582397]",0.9,55.0,"[[ 2  0  0  2]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 0  2 32  4]]","[[ 4  0  0  2]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]",False
0,0,2,"[0, 1, 2, 3]","[0.7646726369857788, 0.07654362916946411, 0.21371322870254517, -0.7545775175094604]",0.5,55.5,"[[ 4  0  0  2]
 [ 2  8  0  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]","[[ 0  4  4  2]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 0  2 32  4]]",False
0,0,0,"[0, 1, 2, 3]","[0.9835939407348633, -0.18118321895599365, 0.13003849983215332, -1.2021255493164062]",1.3,56.8,"[[ 0  4  4  2]
 [ 0  0  2  8]
 [ 4 32  4  2]
 [ 0  2 32  4]]","[[ 8  2  0  0]
 [ 2  8  0  2]
 [ 4 32  4  2]
 [ 2 32  4  0]]",False
0,0,0,"[0, 1, 2, 3]","[0.8217069506645203, 0.07665973901748657, 0.23885294795036316, -0.799083411693573]",0.5,57.3,"[[ 8  2  0  0]
 [ 2  8  0  2]
 [ 4 32  4  2]
 [ 2 32  4  0]]","[[ 8  2  0  2]
 [ 2  8  2  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]",False
0,0,1,"[0, 1, 2, 3]","[0.8667447566986084, 0.11240062117576599, 0.2656155228614807, -0.8070073127746582]",14.2,71.5,"[[ 8  2  0  2]
 [ 2  8  2  0]
 [ 4 32  4  2]
 [ 2 32  4  0]]","[[ 8  2  2  4]
 [ 2  8  8  0]
 [ 4 64  0  0]
 [ 2  2  0  0]]",False
0,0,0,"[0, 2, 3]","[1.0631738901138306, -0.3139606714248657, 0.15636107325553894, -1.1208276748657227]",3.0,74.5,"[[ 8  2  2  4]
 [ 2  8  8  0]
 [ 4 64  0  0]
 [ 2  2  0  0]]","[[ 8  4  4  2]
 [ 2 16  0  0]
 [ 4 64  0  0]
 [ 4  0  0  0]]",False
0,0,2,"[0, 1, 2, 3]","[1.0278886556625366, -0.37569570541381836, 0.07821495831012726, -1.0801688432693481]",1.4000000000000001,75.9,"[[ 8  4  4  2]
 [ 2 16  0  0]
 [ 4 64  0  0]
 [ 4  0  0  0]]","[[ 0  8  8  2]
 [ 0  0  2 16]
 [ 0  2  4 64]
 [ 0  0  0  4]]",False
0,0,2,"[0, 1, 2, 3]","[1.151207447052002, 0.3649085760116577, 0.32334375381469727, -1.0514181852340698]",2.2,78.10000000000001,"[[ 0  8  8  2]
 [ 0  0  2 16]
 [ 0  2  4 64]
 [ 0  0  0  4]]","[[ 0  0 16  2]
 [ 0  0  2 16]
 [ 2  2  4 64]
 [ 0  0  0  4]]",False
0,0,0,"[0, 1, 2, 3]","[1.0543605089187622, 0.361588716506958, 0.29366111755371094, -0.9568395614624023]",1.0,79.10000000000001,"[[ 0  0 16  2]
 [ 0  0  2 16]
 [ 2  2  4 64]
 [ 0  0  0  4]]","[[16  2  2  0]
 [ 2 16  0  0]
 [ 4  4 64  0]
 [ 4  0  0  0]]",False
0,0,1,"[0, 1, 2, 3]","[1.4825196266174316, 0.09263062477111816, -0.013369351625442505, -1.049863338470459]",1.4000000000000001,80.50000000000001,"[[16  2  2  0]
 [ 2 16  0  0]
 [ 4  4 64  0]
 [ 4  0  0  0]]","[[16  2  2  0]
 [ 2 16 64  0]
 [ 8  4  0  0]
 [ 2  0  0  0]]",False
0,0,1,"[0, 2, 3]","[1.7793066501617432, -0.39038872718811035, 0.2204684615135193, -1.3365665674209595]",-1,79.50000000000001,"[[16  2  2  0]
 [ 2 16 64  0]
 [ 8  4  0  0]
 [ 2  0  0  0]]","[[16  2  2  0]
 [ 2 16 64  0]
 [ 8  4  0  0]
 [ 2  0  0  0]]",False
0,0,3,"[0, 2, 3]","[1.7793066501617432, -0.39038872718811035, 0.2204684615135193, -1.3365665674209595]",0.6000000000000001,80.10000000000001,"[[16  2  2  0]
 [ 2 16 64  0]
 [ 8  4  0  0]
 [ 2  0  0  0]]","[[16  0  0  0]
 [ 2  2  0  0]
 [ 8 16  2  0]
 [ 2  4 64  2]]",False
0,0,0,"[0, 1, 2]","[2.134594678878784, -0.5066244602203369, 0.3363715410232544, -2.0196478366851807]",1.0,81.10000000000001,"[[16  0  0  0]
 [ 2  2  0  0]
 [ 8 16  2  0]
 [ 2  4 64  2]]","[[16  0  0  0]
 [ 4  0  2  0]
 [ 8 16  2  0]
 [ 2  4 64  2]]",False
0,0,2,"[0, 1, 2, 3]","[2.1789238452911377, -0.40059375762939453, 0.3957183361053467, -1.9805607795715332]",0.6000000000000001,81.7,"[[16  0  0  0]
 [ 4  0  2  0]
 [ 8 16  2  0]
 [ 2  4 64  2]]","[[ 0  0  0 16]
 [ 0  2  4  2]
 [ 0  8 16  2]
 [ 2  4 64  2]]",False
0,0,0,"[0, 1, 3]","[2.2334749698638916, -0.36718130111694336, 0.3048097491264343, -2.0046513080596924]",0.6000000000000001,82.3,"[[ 0  0  0 16]
 [ 0  2  4  2]
 [ 0  8 16  2]
 [ 2  4 64  2]]","[[16  0  0  0]
 [ 2  4  2  0]
 [ 8 16  2  2]
 [ 2  4 64  2]]",False
0,0,1,"[0, 1, 2, 3]","[2.1703202724456787, -0.6052656173706055, 0.3574053943157196, -2.1150577068328857]",1.4000000000000001,83.7,"[[16  0  0  0]
 [ 2  4  2  0]
 [ 8 16  2  2]
 [ 2  4 64  2]]","[[16  4  4  4]
 [ 2 16 64  0]
 [ 8  4  0  2]
 [ 2  0  0  0]]",False
0,0,1,"[0, 1, 2, 3]","[1.7943466901779175, -0.3087899684906006, 0.2046298384666443, -1.2825639247894287]",0.6000000000000001,84.3,"[[16  4  4  4]
 [ 2 16 64  0]
 [ 8  4  0  2]
 [ 2  0  0  0]]","[[16  4  4  4]
 [ 2 16 64  2]
 [ 8  4  0  0]
 [ 2  2  0  0]]",False
0,0,0,"[0, 2, 3]","[1.8419965505599976, -0.3082616329193115, 0.2631542980670929, -1.3358545303344727]",1.8,86.1,"[[16  4  4  4]
 [ 2 16 64  2]
 [ 8  4  0  0]
 [ 2  2  0  0]]","[[16  8  4  0]
 [ 2 16 64  2]
 [ 8  4  2  0]
 [ 4  0  0  0]]",False
0,0,1,"[1, 2, 3]","[1.8983687162399292, -0.3920931816101074, 0.29201552271842957, -1.4129656553268433]",0.6000000000000001,86.69999999999999,"[[16  8  4  0]
 [ 2 16 64  2]
 [ 8  4  2  0]
 [ 4  0  0  0]]","[[16  8  4  2]
 [ 2 16 64  0]
 [ 8  4  2  0]
 [ 4  0  0  2]]",False
0,0,0,"[0, 1, 2, 3]","[1.8887697458267212, -0.3736703395843506, 0.3045576810836792, -1.4180583953857422]",0.6000000000000001,87.29999999999998,"[[16  8  4  2]
 [ 2 16 64  0]
 [ 8  4  2  0]
 [ 4  0  0  2]]","[[16  8  4  2]
 [ 2 16 64  0]
 [ 8  4  2  0]
 [ 4  2  2  0]]",False
0,0,3,"[0, 1, 2, 3]","[1.9478527307510376, -0.3563051223754883, 0.36757636070251465, -1.5121474266052246]",1.0,88.29999999999998,"[[16  8  4  2]
 [ 2 16 64  0]
 [ 8  4  2  0]
 [ 4  2  2  0]]","[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
