Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,2,"[0, 1, 2]",20,8,"[[ 2  0  2  0]
 [ 4  8  4  2]
 [ 2 16  8  8]
 [ 4  2  4  2]]","[[ 0  0  2  4]
 [ 4  8  4  2]
 [ 0  2 16 16]
 [ 4  2  4  2]]",False,True
0,0,0,"[0, 1, 2, 3]",32,40,"[[ 0  0  2  4]
 [ 4  8  4  2]
 [ 0  2 16 16]
 [ 4  2  4  2]]","[[ 2  4  0  0]
 [ 4  8  4  2]
 [ 2 32  2  0]
 [ 4  2  4  2]]",False,True
0,0,3,"[1, 2, 3]",4,44,"[[ 2  4  0  0]
 [ 4  8  4  2]
 [ 2 32  2  0]
 [ 4  2  4  2]]","[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 2 32  2  2]
 [ 4  2  4  4]]",False,True
0,0,2,"[0, 1, 2]",12,56,"[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 2 32  2  2]
 [ 4  2  4  4]]","[[ 0  0  2  4]
 [ 0  4  8  4]
 [ 2  2 32  4]
 [ 0  4  2  8]]",False,True
0,0,0,"[0, 1, 2, 3]",4,60,"[[ 0  0  2  4]
 [ 0  4  8  4]
 [ 2  2 32  4]
 [ 0  4  2  8]]","[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 4 32  4  0]
 [ 4  2  8  4]]",False,True
0,0,0,"[1, 2, 3]",-10,50,"[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 4 32  4  0]
 [ 4  2  8  4]]","[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 4 32  4  0]
 [ 4  2  8  4]]",False,True
0,0,3,"[1, 2, 3]",16,66,"[[ 2  4  0  0]
 [ 4  8  4  0]
 [ 4 32  4  0]
 [ 4  2  8  4]]","[[ 0  4  0  2]
 [ 2  8  0  0]
 [ 4 32  8  0]
 [ 8  2  8  4]]",False,True
0,0,2,"[0, 1, 2, 3]",0,66,"[[ 0  4  0  2]
 [ 2  8  0  0]
 [ 4 32  8  0]
 [ 8  2  8  4]]","[[ 0  4  4  2]
 [ 0  0  2  8]
 [ 0  4 32  8]
 [ 8  2  8  4]]",False,True
0,0,3,"[0, 1, 2, 3]",24,90,"[[ 0  4  4  2]
 [ 0  0  2  8]
 [ 0  4 32  8]
 [ 8  2  8  4]]","[[ 0  0  4  0]
 [ 0  2  2  2]
 [ 0  8 32 16]
 [ 8  2  8  4]]",False,True
0,0,0,"[0, 1, 2]",4,94,"[[ 0  0  4  0]
 [ 0  2  2  2]
 [ 0  8 32 16]
 [ 8  2  8  4]]","[[ 4  0  2  0]
 [ 4  2  0  0]
 [ 8 32 16  0]
 [ 8  2  8  4]]",False,True
0,0,3,"[0, 1, 2, 3]",24,118,"[[ 4  0  2  0]
 [ 4  2  0  0]
 [ 8 32 16  0]
 [ 8  2  8  4]]","[[ 0  0  2  0]
 [ 0  2  2  0]
 [ 8 32 16  0]
 [16  2  8  4]]",False,True
0,0,1,"[0, 1, 2, 3]",4,122,"[[ 0  0  2  0]
 [ 0  2  2  0]
 [ 8 32 16  0]
 [16  2  8  4]]","[[ 8  2  4  4]
 [16 32 16  0]
 [ 0  2  8  0]
 [ 0  2  0  0]]",False,True
0,0,3,"[0, 1, 2, 3]",4,126,"[[ 8  2  4  4]
 [16 32 16  0]
 [ 0  2  8  0]
 [ 0  2  0  0]]","[[ 0  2  0  0]
 [ 0  2  4  0]
 [ 8 32 16  0]
 [16  4  8  4]]",False,True
0,0,0,"[0, 1, 2, 3]",0,126,"[[ 0  2  0  0]
 [ 0  2  4  0]
 [ 8 32 16  0]
 [16  4  8  4]]","[[ 2  4  0  0]
 [ 2  4  0  0]
 [ 8 32 16  0]
 [16  4  8  4]]",False,True
