Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,1,"[0, 1, 2, 3]",0,39.0,"[[16  2 64  4]
 [ 2 16  8  0]
 [ 8  2  0  0]
 [ 2  0  0  2]]","[[16  2 64  4]
 [ 2 16  8  2]
 [ 8  2  0  0]
 [ 2  0  0  2]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,40.0,"[[16  2 64  4]
 [ 2 16  8  2]
 [ 8  2  0  0]
 [ 2  0  0  2]]","[[16  2 64  4]
 [ 2 16  8  2]
 [ 0  2  8  2]
 [ 0  0  0  4]]",False,True
0,0,3,"[0, 1, 3]",1.0,41.0,"[[16  2 64  4]
 [ 2 16  8  2]
 [ 0  2  8  2]
 [ 0  0  0  4]]","[[ 0  0  0  2]
 [ 0  2  0  4]
 [16 16 64  4]
 [ 2  2 16  4]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,42.0,"[[ 0  0  0  2]
 [ 0  2  0  4]
 [16 16 64  4]
 [ 2  2 16  4]]","[[ 2  0  0  0]
 [ 2  4  2  0]
 [32 64  4  0]
 [ 4 16  4  0]]",False,True
0,0,3,"[1, 2, 3]",1.0,43.0,"[[ 2  0  0  0]
 [ 2  4  2  0]
 [32 64  4  0]
 [ 4 16  4  0]]","[[ 0  0  0  0]
 [ 4  4  0  0]
 [32 64  2  2]
 [ 4 16  8  0]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,44.0,"[[ 0  0  0  0]
 [ 4  4  0  0]
 [32 64  2  2]
 [ 4 16  8  0]]","[[ 0  0  0  0]
 [ 8  0  0  0]
 [32 64  4  2]
 [ 4 16  8  0]]",False,True
0,0,1,"[1, 2, 3]",0,44.0,"[[ 0  0  0  0]
 [ 8  0  0  0]
 [32 64  4  2]
 [ 4 16  8  0]]","[[ 8 64  4  2]
 [32 16  8  0]
 [ 4  0  0  0]
 [ 0  0  2  0]]",False,True
0,0,3,"[0, 1, 2, 3]",0,44.0,"[[ 8 64  4  2]
 [32 16  8  0]
 [ 4  0  0  0]
 [ 0  0  2  0]]","[[ 0  0  2  0]
 [ 8  0  4  0]
 [32 64  8  0]
 [ 4 16  2  2]]",False,True
0,0,1,"[0, 1, 2]",0,44.0,"[[ 0  0  2  0]
 [ 8  0  4  0]
 [32 64  8  0]
 [ 4 16  2  2]]","[[ 8 64  2  2]
 [32 16  4  0]
 [ 4  2  8  0]
 [ 0  0  2  0]]",False,True
0,0,0,"[0, 2, 3]",1.0,45.0,"[[ 8 64  2  2]
 [32 16  4  0]
 [ 4  2  8  0]
 [ 0  0  2  0]]","[[ 8 64  4  0]
 [32 16  4  0]
 [ 4  2  8  0]
 [ 2  0  0  2]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,46.0,"[[ 8 64  4  0]
 [32 16  4  0]
 [ 4  2  8  0]
 [ 2  0  0  2]]","[[ 8  2  0  0]
 [32 64  0  0]
 [ 4 16  8  0]
 [ 2  2  8  2]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,47.0,"[[ 8  2  0  0]
 [32 64  0  0]
 [ 4 16  8  0]
 [ 2  2  8  2]]","[[ 8  2 16  2]
 [32 64  0  2]
 [ 4 16  0  0]
 [ 2  2  0  0]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,48.0,"[[ 8  2 16  2]
 [32 64  0  2]
 [ 4 16  0  0]
 [ 2  2  0  0]]","[[ 8  2 16  2]
 [ 0 32 64  2]
 [ 0  2  4 16]
 [ 0  0  0  4]]",False,True
0,0,0,"[0, 1, 3]",0,48.0,"[[ 8  2 16  2]
 [ 0 32 64  2]
 [ 0  2  4 16]
 [ 0  0  0  4]]","[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]",False,True
0,0,0,"[1, 2, 3]",-0.0,48.0,"[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]","[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]",False,True
0,0,0,"[1, 2, 3]",-0.0,48.0,"[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]","[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]",False,True
0,0,0,"[1, 2, 3]",-0.0,48.0,"[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]","[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]",False,False
0,0,0,"[1, 2, 3]",-0.0,48.0,"[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]","[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]",False,False
0,0,3,"[1, 2, 3]",1.0,49.0,"[[ 8  2 16  2]
 [32 64  2  0]
 [ 2  4 16  2]
 [ 4  0  0  0]]","[[ 8  0  2  0]
 [32  2 16  0]
 [ 2 64  2  0]
 [ 4  4 16  4]]",False,True
0,0,0,"[0, 1, 2]",1.0,50.0,"[[ 8  0  2  0]
 [32  2 16  0]
 [ 2 64  2  0]
 [ 4  4 16  4]]","[[ 8  2  2  0]
 [32  2 16  0]
 [ 2 64  2  0]
 [ 8 16  4  0]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,51.0,"[[ 8  2  2  0]
 [32  2 16  0]
 [ 2 64  2  0]
 [ 8 16  4  0]]","[[ 8  4  0  0]
 [32  2 16  0]
 [ 2 64  2  2]
 [ 8 16  4  0]]",False,True
0,0,2,"[0, 1, 2, 3]",2.0,53.0,"[[ 8  4  0  0]
 [32  2 16  0]
 [ 2 64  2  2]
 [ 8 16  4  0]]","[[ 0  4  8  4]
 [ 0 32  2 16]
 [ 0  2 64  4]
 [ 0  8 16  4]]",False,True
0,0,3,"[0, 1, 3]",1.0,54.0,"[[ 0  4  8  4]
 [ 0 32  2 16]
 [ 0  2 64  4]
 [ 0  8 16  4]]","[[ 0  4  8  0]
 [ 0 32  2  4]
 [ 0  2 64 16]
 [ 2  8 16  8]]",False,True
