Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,3,"[0, 1, 2, 3]","[-0.029615208506584167, 0.016243062913417816, 0.04194162040948868, 0.05300985276699066]",0.5,34.4,"[[ 0  2  0  0]
 [ 0  0  0  4]
 [ 0  0  0 32]
 [ 2  0  8  8]]","[[ 0  0  2  0]
 [ 0  0  0  4]
 [ 0  0  0 32]
 [ 2  2  8  8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.03404064476490021, 0.007331434637308121, 0.039794422686100006, 0.05497174710035324]",0.5,34.9,"[[ 0  0  2  0]
 [ 0  0  0  4]
 [ 0  0  0 32]
 [ 2  2  8  8]]","[[ 0  2  0  0]
 [ 0  0  0  4]
 [ 0  0  2 32]
 [ 2  2  8  8]]",False
0,0,0,"[0, 1, 2, 3]","[-0.04255284368991852, -0.006284497678279877, 0.04150190204381943, 0.05483411252498627]",2.5,37.4,"[[ 0  2  0  0]
 [ 0  0  0  4]
 [ 0  0  2 32]
 [ 2  2  8  8]]","[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2 32  0  0]
 [ 4 16  2  0]]",False
0,0,1,"[1, 2]","[-0.1040605902671814, 0.09954655170440674, 0.15385115146636963, 0.2533910274505615]",0.5,37.9,"[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2 32  0  0]
 [ 4 16  2  0]]","[[ 2 32  2  0]
 [ 4 16  0  0]
 [ 2  0  0  0]
 [ 4  0  2  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.07443614304065704, -0.053447723388671875, 0.058402180671691895, 0.05786731839179993]",0.5,38.4,"[[ 2 32  2  0]
 [ 4 16  0  0]
 [ 2  0  0  0]
 [ 4  0  2  0]]","[[ 0  2 32  2]
 [ 2  0  4 16]
 [ 0  0  0  2]
 [ 0  0  4  2]]",False
0,0,2,"[0, 1, 2, 3]","[-0.11726725846529007, 0.0670713260769844, 0.16899877786636353, 0.22053346037864685]",0.5,38.9,"[[ 0  2 32  2]
 [ 2  0  4 16]
 [ 0  0  0  2]
 [ 0  0  4  2]]","[[ 0  2 32  2]
 [ 0  2  4 16]
 [ 0  0  2  2]
 [ 0  0  4  2]]",False
0,0,3,"[0, 1, 2, 3]","[-0.10340375453233719, 0.07885529845952988, 0.1500089317560196, 0.21993736922740936]",1.3,40.199999999999996,"[[ 0  2 32  2]
 [ 0  2  4 16]
 [ 0  0  2  2]
 [ 0  0  4  2]]","[[ 0  2 32  0]
 [ 0  0  4  2]
 [ 0  0  2 16]
 [ 0  4  4  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.06543846428394318, 0.09510500729084015, 0.10298219323158264, 0.22041010856628418]",0.5,40.699999999999996,"[[ 0  2 32  0]
 [ 0  0  4  2]
 [ 0  0  2 16]
 [ 0  4  4  4]]","[[ 2  2 32  2]
 [ 0  4  4 16]
 [ 0  0  2  4]
 [ 0  0  4  0]]",False
0,0,3,"[0, 2, 3]","[-0.1061478853225708, 0.07193301618099213, 0.1524205356836319, 0.2116747796535492]",0.5,41.199999999999996,"[[ 2  2 32  2]
 [ 0  4  4 16]
 [ 0  0  2  4]
 [ 0  0  4  0]]","[[ 4  0 32  0]
 [ 0  0  4  2]
 [ 0  2  2 16]
 [ 2  4  4  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.0727519690990448, 0.08470116555690765, 0.10986615717411041, 0.2010270059108734]",0.5,41.699999999999996,"[[ 4  0 32  0]
 [ 0  0  4  2]
 [ 0  2  2 16]
 [ 2  4  4  4]]","[[ 4  2 32  2]
 [ 2  4  4 16]
 [ 0  0  2  4]
 [ 0  2  4  0]]",False
